Parameter Value[Column model]	Parameter Value[Column model] - Upper Case	IGNORE	COLUMN_DESCRIPTION	Min Peak Width	Max Peak Width	Center
Gemini NX-C18 (3 µm, 2 mm x 100 mm; Phenomenex)	GEMINI NX-C18 (3 µM, 2 MM X 100 MM; PHENOMENEX)	0	100 mm length, UPLC	5	20	2
Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)	GEMINI NX-C18 (3 µM, 2 MM X 150 MM; PHENOMENEX)	0	150 mm length, UPLC	5	20	2
Gemini NX-C18 (5 µm, 2 mm x 100 mm; Phenomenex)	GEMINI NX-C18 (5 µM, 2 MM X 100 MM; PHENOMENEX)	0	150 mm length, HPLC	8	80	3
HSS T3 (1.8 µm, 0.15 mm x 260 mm; In-house)	HSS T3 (1.8 µM, 0.15 MM X 260 MM; IN-HOUSE)	0	150 mm length, HPLC	8	80	3
Hypercarb Porous Graphitic Carbon (3 µm, 1 mm x 100 mm; Thermo Scientific)	HYPERCARB POROUS GRAPHITIC CARBON (3 µM, 1 MM X 100 MM; THERMO SCIENTIFIC)	0	100 mm length, UPLC	5	20	2
Hypercarb Porous Graphitic Carbon (3 µm, 2 mm x 100 mm; Thermo Scientific)	HYPERCARB POROUS GRAPHITIC CARBON (3 µM, 2 MM X 100 MM; THERMO SCIENTIFIC)	0	100 mm length, UPLC	5	20	2
Hypercarb Porous Graphitic Carbon (5 µm, 2.1 mm x 100 mm; Thermo Scientific)	HYPERCARB POROUS GRAPHITIC CARBON (5 µM, 2.1 MM X 100 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Hypersil C1 (5 µm, 2.1 mm x 50 mm; Thermo Scientific)	HYPERSIL C1 (5 µM, 2.1 MM X 50 MM; THERMO SCIENTIFIC)	0	150 mm length, HPLC	8	80	3
Hypersil GOLD aQ (1.9 µm, 1 mm x 50 mm; Thermo Scientific)	HYPERSIL GOLD AQ (1.9 µM, 1 MM X 50 MM; THERMO SCIENTIFIC)	0	50 mm length, UPLC	5	20	1
Hypersil GOLD aQ (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	HYPERSIL GOLD AQ (1.9 µM, 2.1 MM X 100 MM; THERMO SCIENTIFIC)	0	100 mm length, UPLC	5	20	2
Hypersil GOLD C18 (1.9 µm, 1 mm x 150 mm; Thermo Scientific)	HYPERSIL GOLD C18 (1.9 µM, 1 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	HYPERSIL GOLD C18 (1.9 µM, 2.1 MM X 100 MM; THERMO SCIENTIFIC)	0	100 mm length, UPLC	5	20	2
Hypersil GOLD C18 (1.9 µm, 2.1 mm x 150 mm; Thermo Scientific)	HYPERSIL GOLD C18 (1.9 µM, 2.1 MM X 150 MM; THERMO SCIENTIFIC)	0	150 mm length, UPLC	5	20	2
Hypersil GOLD C18 (1.9 µm, 2.1 mm x 50 mm; Thermo Scientific)	HYPERSIL GOLD C18 (1.9 µM, 2.1 MM X 50 MM; THERMO SCIENTIFIC)	0	50 mm length, UPLC	5	20	1
